Service,Log_Level,Message,Timestamp,Status_Code,Response_Time(ms)
vpn,INFO,Sample log message 143,2024-12-03 23:00:00,200,1499.0377371088925
dns,DEBUG,Sample log message 144,2024-12-03 23:30:00,404,1503.3527324910056
openshift,WARN,Sample log message 145,2024-12-04 00:00:00,400,1433.0893728492042
storage,DEBUG,Sample log message 146,2024-12-04 00:30:00,400,514.3390172170829
private cloud,CRITICAL,Sample log message 147,2024-12-04 01:00:00,500,1471.3470444402615
ansible,DEBUG,Sample log message 148,2024-12-04 01:30:00,404,1488.9014803339076
ansible,WARN,Sample log message 149,2024-12-04 02:00:00,200,447.80149617542565
network,ERROR,Sample log message 150,2024-12-04 02:30:00,500,1735.5459517709564
openshift,CRITICAL,Sample log message 151,2024-12-04 03:00:00,404,1795.2820896136982
openshift,ERROR,Sample log message 152,2024-12-04 03:30:00,500,1575.9106069087106
kubernetes,DEBUG,Sample log message 153,2024-12-04 04:00:00,404,1498.0529694412835
ansible,INFO,Sample log message 154,2024-12-04 04:30:00,400,552.1177965350787
docker,INFO,Sample log message 155,2024-12-04 05:00:00,400,1466.7731598847022
docker,WARN,Sample log message 156,2024-12-04 05:30:00,400,1531.0910863699946
docker,CRITICAL,Sample log message 157,2024-12-04 06:00:00,400,1295.2591651247524
dns,CRITICAL,Sample log message 158,2024-12-04 06:30:00,400,857.7344810882362
docker,INFO,Sample log message 159,2024-12-04 07:00:00,500,280.1483577859116
private cloud,DEBUG,Sample log message 160,2024-12-04 07:30:00,404,1552.2689281751889
network,DEBUG,Sample log message 161,2024-12-04 08:00:00,400,1562.4966322645744
storage,CRITICAL,Sample log message 162,2024-12-04 08:30:00,500,1274.5504025348177
storage,INFO,Sample log message 163,2024-12-04 09:00:00,404,128.56983043917228
vpn,ERROR,Sample log message 164,2024-12-04 09:30:00,400,1974.4797728897086
network,CRITICAL,Sample log message 165,2024-12-04 10:00:00,404,1709.0062791127816
private cloud,ERROR,Sample log message 166,2024-12-04 10:30:00,404,331.0860501910325
ansible,INFO,Sample log message 167,2024-12-04 11:00:00,404,1261.6460108719725
openshift,CRITICAL,Sample log message 168,2024-12-04 11:30:00,404,591.0879787008588
kubernetes,ERROR,Sample log message 169,2024-12-04 12:00:00,400,437.16163271201407
docker,DEBUG,Sample log message 170,2024-12-04 12:30:00,400,949.6357781095592
vpn,ERROR,Sample log message 171,2024-12-04 13:00:00,200,764.0199916583883
openshift,CRITICAL,Sample log message 172,2024-12-04 13:30:00,200,308.83032017599885
storage,ERROR,Sample log message 173,2024-12-04 14:00:00,200,690.2792921035424
network,INFO,Sample log message 174,2024-12-04 14:30:00,200,1593.9185173859091
private cloud,CRITICAL,Sample log message 175,2024-12-04 15:00:00,404,1583.4799345455983
storage,CRITICAL,Sample log message 176,2024-12-04 15:30:00,500,1190.1698156051252
docker,INFO,Sample log message 177,2024-12-04 16:00:00,200,1042.3849408190272
network,INFO,Sample log message 178,2024-12-04 16:30:00,200,686.7662150047296
dns,CRITICAL,Sample log message 179,2024-12-04 17:00:00,400,393.95832554968257
openshift,WARN,Sample log message 180,2024-12-04 17:30:00,400,1333.352606673624
kubernetes,CRITICAL,Sample log message 181,2024-12-04 18:00:00,500,291.44927547112223
ansible,DEBUG,Sample log message 182,2024-12-04 18:30:00,200,1876.469798132291
ansible,CRITICAL,Sample log message 183,2024-12-04 19:00:00,400,1246.5863162492612
docker,ERROR,Sample log message 184,2024-12-04 19:30:00,200,260.34902052354664
kubernetes,CRITICAL,Sample log message 185,2024-12-04 20:00:00,200,887.8319652307046
dns,WARN,Sample log message 186,2024-12-04 20:30:00,404,1772.3754017260117
dns,CRITICAL,Sample log message 187,2024-12-04 21:00:00,500,1928.948935288817
vpn,CRITICAL,Sample log message 188,2024-12-04 21:30:00,200,1055.5766673095939
docker,DEBUG,Sample log message 189,2024-12-04 22:00:00,400,846.7576509056872
openshift,DEBUG,Sample log message 190,2024-12-04 22:30:00,200,1782.1769483627454
openshift,ERROR,Sample log message 191,2024-12-04 23:00:00,200,418.08804500922383
ansible,CRITICAL,Sample log message 192,2024-12-04 23:30:00,400,702.6572447333652
storage,INFO,Sample log message 193,2024-12-05 00:00:00,200,1520.5919089986025
private cloud,CRITICAL,Sample log message 194,2024-12-05 00:30:00,404,641.7607357763455
docker,INFO,Sample log message 195,2024-12-05 01:00:00,200,1742.398866663796
openshift,INFO,Sample log message 196,2024-12-05 01:30:00,200,1902.5212791214558
kubernetes,CRITICAL,Sample log message 197,2024-12-05 02:00:00,500,1388.3783467511719
ansible,CRITICAL,Sample log message 198,2024-12-05 02:30:00,404,258.2916137976945
network,CRITICAL,Sample log message 199,2024-12-05 03:00:00,404,1059.1717788029905
dns,CRITICAL,Sample log message 200,2024-12-05 03:30:00,500,1462.3314584850584
